title,studio,domestic_gross_bom,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_tn,worldwide_gross
Toy Story 3,BV,415000000.0,652000000.0,2010,47.0,"Jun 18, 2010",Toy Story 3,200000000.0,415004880.0,1068879522.0
Alice in Wonderland (2010),BV,334200000.0,691300000.0,2010,,,,,,
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000.0,2010,,,,,,
Inception,WB,292600000.0,535700000.0,2010,38.0,"Jul 16, 2010",Inception,160000000.0,292576195.0,835524642.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,27.0,"May 21, 2010",Shrek Forever After,165000000.0,238736787.0,756244673.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,53.0,"Jun 30, 2010",The Twilight Saga: Eclipse,68000000.0,300531751.0,706102828.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,15.0,"May 7, 2010",Iron Man 2,170000000.0,312433331.0,621156389.0
Tangled,BV,200800000.0,391000000.0,2010,15.0,"Nov 24, 2010",Tangled,260000000.0,200821936.0,586477240.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,50.0,"Jul 9, 2010",Despicable Me,69000000.0,251513985.0,543464573.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,30.0,"Mar 26, 2010",How to Train Your Dragon,165000000.0,217581232.0,494870992.0
Clash of the Titans (2010),WB,163200000.0,330000000.0,2010,,,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,48.0,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0
The King's Speech,Wein.,135500000.0,275400000.0,2010,,,,,,
Tron Legacy,BV,172100000.0,228000000.0,2010,58.0,"Dec 17, 2010",Tron: Legacy,200000000.0,172062763.0,400062763.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,77.0,"Jun 11, 2010",The Karate Kid,40000000.0,176591618.0,351774938.0
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,,,,,,
Black Swan,FoxS,107000000.0,222400000.0,2010,46.0,"Dec 3, 2010",Black Swan,13000000.0,106954678.0,331266710.0
Megamind,P/DW,148400000.0,173500000.0,2010,47.0,"Nov 5, 2010",Megamind,130000000.0,148415853.0,321887208.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,39.0,"May 14, 2010",Robin Hood,210000000.0,105487148.0,322459006.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,83.0,"Jul 1, 2010",The Last Airbender,150000000.0,131772187.0,319713881.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,70.0,"Dec 22, 2010",Little Fockers,100000000.0,148438600.0,310650574.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,70.0,"Sep 10, 2010",Resident Evil: Afterlife,57500000.0,60128566.0,295874190.0
Shutter Island,Par.,128000000.0,166800000.0,2010,52.0,"Feb 19, 2010",Shutter Island,80000000.0,128012934.0,299461782.0
Salt,Sony,118300000.0,175200000.0,2010,50.0,"Jul 23, 2010",Salt,130000000.0,118311368.0,290650494.0
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,16.0,"May 27, 2010",Sex and the City 2,95000000.0,95347692.0,294680778.0
The Tourist,Sony,67600000.0,210700000.0,2010,85.0,"Dec 10, 2010",The Tourist,100000000.0,67631157.0,278731369.0
The Expendables,LGF,103100000.0,171400000.0,2010,34.0,"Aug 13, 2010",The Expendables,82000000.0,103068524.0,268268174.0
Grown Ups,Sony,162000000.0,109400000.0,2010,34.0,"Jun 25, 2010",Grown Ups,75000000.0,162001186.0,272223430.0
Knight & Day,Fox,76400000.0,185500000.0,2010,,,,,,
True Grit,Par.,171200000.0,81000000.0,2010,29.0,"Dec 22, 2010",True Grit,35000000.0,171243005.0,252276928.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,13.0,"Dec 25, 2010",Gulliver's Travels,112000000.0,42779261.0,232017848.0
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000.0,2010,17.0,"Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,95000000.0,88768303.0,223050874.0
The Social Network,Sony,97000000.0,128000000.0,2010,91.0,"Oct 1, 2010",The Social Network,40000000.0,96962694.0,224922135.0
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,70.0,"Feb 12, 2010",Valentine's Day,52000000.0,110485654.0,217569328.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,44.0,"Jul 14, 2010",The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0
Due Date,WB,100500000.0,111200000.0,2010,84.0,"Nov 5, 2010",Due Date,65000000.0,100539043.0,211739043.0
Eat Pray Love,Sony,80600000.0,124000000.0,2010,67.0,"Aug 13, 2010",Eat Pray Love,60000000.0,80574010.0,206598789.0
Yogi Bear,WB,100200000.0,101300000.0,2010,62.0,"Dec 17, 2010",Yogi Bear,80000000.0,100246011.0,204774690.0
Red,Sum.,90400000.0,108600000.0,2010,63.0,"Oct 15, 2010",Red,60000000.0,90380162.0,196439693.0
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,65.0,"Oct 20, 2010",Paranormal Activity 2,3000000.0,84752907.0,177512032.0
The A-Team,Fox,77200000.0,100000000.0,2010,32.0,"Jun 11, 2010",The A-Team,110000000.0,77222099.0,177241171.0
